num_accesses: 3543311
frames, misses, miss rate0, 3032091, 0.85572
1, 2688679, 0.75880
2, 2535783, 0.71565
3, 2382045, 0.67227
4, 2292936, 0.64712
5, 2206601, 0.62275
6, 2100059, 0.59268
7, 1980856, 0.55904
8, 1896524, 0.53524
9, 1832207, 0.51709
10, 1774561, 0.50082
11, 1717640, 0.48476
12, 1659868, 0.46845
13, 1604521, 0.45283
14, 1552288, 0.43809
15, 1502392, 0.42401
16, 1453812, 0.41030
17, 1406556, 0.39696
18, 1361237, 0.38417
19, 1317266, 0.37176
20, 1275944, 0.36010
21, 1236924, 0.34909
22, 1201276, 0.33903
23, 1168739, 0.32984
24, 1139288, 0.32153
25, 1113777, 0.31433
26, 1091145, 0.30795
27, 1071304, 0.30235
28, 1054479, 0.29760
29, 1039581, 0.29339
30, 1026581, 0.28972
31, 1015315, 0.28654
32, 1005476, 0.28377
33, 996663, 0.28128
34, 988976, 0.27911
35, 981837, 0.27710
36, 975276, 0.27524
37, 969367, 0.27358
38, 963602, 0.27195
39, 958247, 0.27044
40, 953208, 0.26902
41, 948437, 0.26767
42, 943902, 0.26639
43, 939481, 0.26514
44, 935295, 0.26396
45, 931336, 0.26284
46, 927279, 0.26170
47, 923487, 0.26063
48, 919667, 0.25955
49, 916023, 0.25852
50, 912620, 0.25756
51, 909222, 0.25660
52, 905903, 0.25567
53, 902543, 0.25472
54, 899384, 0.25383
55, 896162, 0.25292
56, 893012, 0.25203
57, 890004, 0.25118
58, 886988, 0.25033
59, 884147, 0.24953
60, 881335, 0.24873
61, 878642, 0.24797
62, 875875, 0.24719
63, 873225, 0.24644
64, 870650, 0.24572
65, 868136, 0.24501
66, 865692, 0.24432
67, 863235, 0.24362
68, 860784, 0.24293
69, 858384, 0.24225
70, 856077, 0.24160
71, 853824, 0.24097
72, 851550, 0.24033
73, 849303, 0.23969
74, 847103, 0.23907
75, 844956, 0.23847
76, 842805, 0.23786
77, 840655, 0.23725
78, 838571, 0.23666
79, 836505, 0.23608
80, 834513, 0.23552
81, 832512, 0.23495
82, 830575, 0.23441
83, 828702, 0.23388
84, 826662, 0.23330
85, 824707, 0.23275
86, 822857, 0.23223
87, 821013, 0.23171
88, 819177, 0.23119
89, 817411, 0.23069
90, 815615, 0.23018
91, 813901, 0.22970
92, 812160, 0.22921
93, 810416, 0.22872
94, 808708, 0.22824
95, 807032, 0.22776
96, 805399, 0.22730
97, 803682, 0.22682
98, 802135, 0.22638
99, 800557, 0.22593
100, 798977, 0.22549
101, 797432, 0.22505
102, 795905, 0.22462
103, 794407, 0.22420
104, 792919, 0.22378
105, 791454, 0.22337
106, 790032, 0.22296
107, 788612, 0.22256
108, 787189, 0.22216
109, 785779, 0.22176
